"Provider.CCN","Hospital.Name","State.Code","City","County","Rural.Versus.Urban","Provider.Type","Type.of.Control","FTE...Employees.on.Payroll","Number.of.Beds","Total.Discharges.Title.XVIII","Total.Salaries.From.Worksheet.A","Total.Income","Total.Costs","Year","for_profit","urban","LOGFTE...Employees.on.Payroll","Total.Salaries.From.Worksheet.ALOG","Total.Income.ALOG","logDischarge","logTotalCosts","post"
351307,"ST ANDREWS HEALTH CENTER","ND","BOTTINEAU","BOTTINEAU","R",1,"Non-profit",75.42,25,102,3370473,432578,7627530,2015,0,1,4.32307249183021,15.0305636485626,12.9775179359143,4.62497281328427,15.8472746287019,0
54089,"JEWISH HOME FOR THE AGED","CA","SAN FRANCISCO","SAN FRANCISCO","U",4,"Non-profit",182.88,13,152,29388866,48899205,62225268,2015,0,0,5.2088302000465,17.1961264530981,17.7052716966442,5.02388052084628,17.9462717131592,0
354004,"PRAIRIE ST. JOHNS","ND","FARGO","CASS","U",4,"For-profit",265.5,110,416,14375065,5728976,21312305,2015,1,0,5.58161484068199,16.4810056663766,15.5610473641692,6.03068526026126,16.874795163406,0
261329,"COX-MONETT HOSPITAL","MO","MONETT","BARRY","R",1,"Non-profit",199,18,162,12888260,1274654,25374212,2015,0,1,5.29330482472449,16.3718273774405,14.0581853271975,5.08759633523238,17.0492439406568,0
251307,"NOXUBEE COUNTY HOSPITAL","MS","MACON","NOXUBEE","R",1,"Non-profit",161.63,25,462,9736976,1389008,17706565,2015,0,1,5.08530977242172,16.091441155133,14.1441003812591,6.13556489108174,16.689446032731,0
281336,"YORK GENERAL HOSPITAL INC","NE","YORK","YORK","R",1,"Non-profit",234.34,25,465,18370350,2912721,32409663,2015,0,1,5.45677305224001,16.7262485098133,14.8845982538057,6.14203740558736,17.2939671770384,0
451329,"RANKIN COUNTY HOSPITAL DISTRICT","TX","RANKIN","UPTON","R",1,"Non-profit",48.14,15,28,4355021,1405972,7002792,2015,0,1,3.87411343235493,15.2868399903007,14.156239436503,3.3322045101752,15.7618194846401,0
451337,"W.J. MANGOLD MEMORIAL HOSPITAL","TX","LOCKNEY","FLOYD","R",1,"Non-profit",94.03,25,179,4520647,-285149,10386522,2015,0,1,4.54361388028899,15.3241656831576,NA,5.18738580584075,16.1560195620888,0
464015,"HIGHLAND RIDGE HOSPITAL","UT","MIDVALE","SALT LAKE","U",4,"For-profit",96.84,83,183,4937379,-23028,8152858,2015,1,0,4.57306013206986,15.4123451815621,NA,5.20948615284142,15.9138790985916,0
283301,"CHILDRENS HOSPITAL & MEDICAL CENTER","NE","OMAHA","DOUGLAS","U",7,"Non-profit",1665.54,140,3,122222856,42863327,249538561,2015,0,0,7.4179046741571,18.6213566248556,17.5735271698221,1.09861228866811,19.33512401432,0
